symbol_id,latex,training_samples,test_samples
31,A,137,22
32,B,53,8
33,C,120,14
34,D,50,8
35,E,48,6
36,F,50,6
37,G,106,12
38,H,57,7
39,I,90,10
40,J,93,11
41,K,85,11
42,L,100,11
43,M,108,12
44,N,94,11
45,O,75,9
46,P,64,8
47,Q,60,7
48,R,74,9
49,S,56,7
50,T,50,6
51,U,53,6
52,V,50,6
53,W,56,6
54,X,48,6
55,Y,50,6
56,Z,57,8
59,\rightarrow,954,112
70,0,120,13
71,1,106,12
72,2,112,12
73,3,108,12
74,4,54,7
75,5,70,8
76,6,90,10
77,7,66,9
78,8,109,12
79,9,81,9
81,\pi,1374,159
82,\alpha,2341,260
87,\beta,1018,113
88,\sum,3060,340
89,\sigma,1010,113
90,a,77,9
91,b,51,6
92,c,60,7
93,d,52,6
94,e,56,7
95,f,59,7
96,g,50,6
97,h,52,6
98,i,53,6
99,j,47,6
100,k,52,6
101,l,50,6
102,m,51,6
103,n,54,7
104,o,55,7
105,p,49,6
106,q,62,7
107,r,54,7
108,s,53,6
110,u,51,6
111,v,56,7
112,w,50,6
113,x,59,7
114,y,52,6
115,z,54,6
116,\Sigma,1718,192
117,\gamma,1026,114
150,\Gamma,558,63
151,\delta,1121,125
152,\Delta,896,100
153,\zeta,785,87
154,\eta,617,69
155,\theta,585,66
156,\Theta,414,47
157,\epsilon,489,55
158,\varepsilon,667,74
159,\iota,140,16
160,\kappa,225,26
161,\varkappa,128,15
162,\lambda,895,101
163,\Lambda,396,45
164,\mu,1032,115
165,\nu,352,39
166,\xi,2310,257
167,\Xi,357,41
168,\Pi,718,81
169,\rho,623,69
170,\varrho,200,22
171,\tau,380,44
174,\phi,618,69
175,\Phi,545,62
176,\varphi,1370,152
177,\chi,835,94
178,\psi,505,57
179,\Psi,402,46
180,\omega,568,63
181,\Omega,740,83
182,\partial,2172,241
183,\int,3162,352
184,\cdot,679,76
185,\leq,947,107
186,\geq,779,87
187,<,102,12
188,>,91,10
189,\subset,693,79
190,\supset,370,41
191,\subseteq,1418,158
192,\supseteq,363,41
193,\cong,1259,140
194,\propto,1246,139
195,-,106,12
196,+,81,9
197,\mathbb{R},50,6
254,\$,347,40
257,\{,1021,115
259,\copyright,216,25
260,\dots,123,15
261,\},288,33
262,\S,310,35
263,\dag,226,26
264,\pounds,135,15
265,\&,1156,130
266,\#,960,107
267,\%,798,89
268,\checkmark,786,89
269,\circledR,106,13
508,\mathsection,114,13
510,\amalg,164,20
511,\cup,830,93
512,\oplus,1203,134
513,\times,1358,151
514,\ast,501,56
517,\triangleleft,119,14
520,\otimes,967,109
521,\triangleright,136,16
523,\diamond,225,25
524,\pm,1375,153
526,\div,301,34
527,\bullet,315,35
528,\setminus,462,52
529,\uplus,165,19
530,\cap,988,110
531,\mp,103,12
532,\sqcap,132,16
533,\vee,774,87
534,\odot,435,51
535,\sqcup,237,27
536,\wedge,1306,146
537,\circ,882,98
538,\ominus,90,11
539,\star,234,27
540,\wr,48,8
541,\barwedge,97,11
542,\circledcirc,101,12
544,\boxdot,107,14
549,\ltimes,198,23
550,\boxplus,94,11
553,\boxtimes,192,22
555,\rtimes,240,27
562,\circledast,106,12
564,\lhd,94,11
574,\prod,1000,112
577,\coprod,150,17
582,\oint,1067,119
583,\parr,85,10
584,\with,181,21
591,\fint,266,30
595,\varoiint,126,15
600,\oiint,288,32
601,\approx,1836,205
603,\equiv,2266,252
604,\not\equiv,344,39
605,\perp,990,111
607,\asymp,134,16
608,\frown,81,9
609,\prec,470,53
610,\succ,325,37
611,\bowtie,216,24
612,\preceq,249,28
613,\succeq,180,21
614,\mid,302,34
615,\vdash,961,107
616,\dashv,191,22
617,\models,426,48
618,\sim,1807,201
620,\doteq,160,20
621,\parallel,322,37
622,\simeq,790,90
630,\backsim,123,18
631,\multimap,88,11
634,\pitchfork,99,12
635,\therefore,685,77
636,\because,193,22
639,\between,84,10
640,\preccurlyeq,164,19
644,\varpropto,118,14
647,\Vdash,121,14
650,\vDash,407,46
661,\nmid,312,36
671,\nvDash,129,15
678,\sqsubseteq,259,29
679,\nsubseteq,179,20
683,\subsetneq,215,24
684,\varsubsetneq,88,10
698,\neq,1374,153
711,\geqslant,273,31
712,\gtrless,87,10
713,\lesssim,695,78
716,\gtrsim,577,64
728,\leqslant,357,41
739,\trianglelefteq,150,17
741,\blacktriangleright,53,7
743,\triangleq,511,58
748,\Downarrow,147,17
751,\downarrow,183,21
753,\Rightarrow,1583,176
756,\hookrightarrow,600,67
757,\Longleftrightarrow,215,25
758,\searrow,127,15
759,\longmapsto,162,19
761,\leftarrow,188,21
762,\Longrightarrow,242,28
763,\uparrow,203,24
764,\Leftarrow,125,15
765,\longrightarrow,218,25
767,\Leftrightarrow,1111,124
768,\mapsto,823,92
770,\leftrightarrow,454,51
771,\nearrow,180,21
775,\rightleftharpoons,188,21
777,\rightharpoonup,195,22
778,\leadsto,561,63
783,\circlearrowleft,150,17
785,\rightleftarrows,110,13
786,\circlearrowright,124,15
788,\rightrightarrows,125,14
791,\rightsquigarrow,152,19
792,\curvearrowright,145,18
801,\twoheadrightarrow,373,42
809,\nRightarrow,87,10
812,\nrightarrow,166,19
817,\upharpoonright,125,14
822,\mapsfrom,108,13
823,\shortrightarrow,247,28
827,\lightning,493,56
837,\vartheta,253,29
838,\varpi,131,15
881,\bot,659,74
882,\forall,1925,214
884,\ni,439,50
885,\top,302,34
886,\ell,812,91
887,\hbar,466,53
888,\in,2066,230
889,\notin,1175,131
890,\wp,320,36
891,\exists,1261,141
892,\Im,107,14
894,\Re,173,20
901,\nexists,280,32
912,\langle,685,77
913,\rangle,143,16
914,\lceil,310,37
915,\rceil,157,18
916,\lfloor,377,43
917,\rfloor,132,15
918,[,824,92
919,],233,26
920,|,459,52
921,\|,332,38
922,/,478,54
923,\llbracket,695,78
924,\rrbracket,157,18
934,\vdots,367,41
936,\ddots,359,40
941,\dotsc,135,15
943,\aleph,686,77
944,\infty,2622,292
945,\prime,132,15
946,\angle,216,24
947,\diamondsuit,99,12
948,\sharp,213,24
949,\backslash,234,26
950,\emptyset,853,97
951,\nabla,1095,122
953,\flat,114,13
956,\clubsuit,246,28
957,\heartsuit,819,91
958,\neg,758,85
959,\triangle,284,32
960,\sqrt{},880,98
965,\sphericalangle,92,11
968,\square,1961,218
971,\triangledown,174,20
972,\blacksquare,352,50
973,\lozenge,139,16
974,\varnothing,414,47
977,\vartriangle,100,12
992,\iddots,214,24
993,\mathcal{A},322,37
994,\mathcal{B},144,16
995,\mathcal{C},165,19
996,\mathcal{D},183,21
997,\mathcal{E},253,29
998,\mathcal{F},353,40
999,\mathcal{G},102,12
1000,\mathcal{H},217,25
1004,\mathcal{L},668,75
1005,\mathcal{M},198,23
1006,\mathcal{N},297,33
1007,\mathcal{O},780,87
1008,\mathcal{P},325,37
1010,\mathcal{R},143,17
1011,\mathcal{S},164,19
1012,\mathcal{T},165,19
1013,\mathcal{U},102,12
1016,\mathcal{X},111,13
1018,\mathcal{Z},139,17
1019,\mathfrak{A},138,16
1031,\mathfrak{M},99,11
1037,\mathfrak{S},200,23
1042,\mathfrak{X},103,12
1045,\mathbb{1},852,96
1046,\mathds{1},279,32
1051,\mathds{C},375,42
1053,\mathds{E},182,21
1062,\mathds{N},913,103
1064,\mathds{P},178,20
1065,\mathds{Q},199,23
1066,\mathds{R},2139,239
1074,\mathds{Z},906,102
1075,\mathscr{A},166,19
1077,\mathscr{C},197,22
1078,\mathscr{D},125,14
1079,\mathscr{E},90,11
1080,\mathscr{F},118,14
1082,\mathscr{H},188,21
1086,\mathscr{L},723,81
1090,\mathscr{P},103,12
1093,\mathscr{S},173,20
1101,\celsius,296,33
1102,\degree,603,68
1103,\ohm,297,33
1111,\venus,112,14
1112,\mars,204,23
1115,\astrosun,267,31
1116,\fullmoon,127,15
1117,\leftmoon,90,11
1168,\female,156,20
1169,\male,340,40
1177,\checked,251,28
1184,\diameter,175,20
1185,\sun,146,17
1187,\Bowtie,241,27
1314,\mathbb{Q},47,6
1315,\mathbb{N},45,6
1316,\mathbb{Z},59,7
1317,\mathbb{H},64,8
1369,\ss,215,25
1371,\aa,207,24
1374,\L,89,10
1382,\AA,682,76
1385,\O,213,24
1394,\o,282,32
1395,\ae,257,29
1396,\AE,134,15
1400,\guillemotleft,96,11
